p n nt time
1024 2501 100 0.040816
1024 2501 100 0.040905
1024 2501 100 0.040947
1024 2501 100 0.040916
1024 2501 100 0.040920
1024 2501 100 0.040905
1024 2501 100 0.040891
1024 2501 100 0.040868
1024 2501 100 0.040588
1024 2501 100 0.040847
1024 2501 100 0.041167
1024 2501 100 0.041117
1024 2501 100 0.040498
1024 2501 100 0.040637
1024 2501 100 0.040549
1024 2501 100 0.041089
1024 2501 100 0.041211
1024 2501 100 0.040874
1024 2501 100 0.041276
1024 2501 100 0.040862
1024 2501 100 0.041286
1024 2501 100 0.040558
1024 2501 100 0.041292
1024 2501 100 0.041254
1024 2501 100 0.041439
1024 2501 100 0.044468
1024 2501 100 0.044401
1024 2501 100 0.044293
1024 2501 100 0.044706
1024 2501 100 0.043731
1024 2501 100 0.044822
1024 2501 100 0.044561
1024 2501 100 0.044931
1024 2501 100 0.044467
1024 2501 100 0.043580
1024 2501 100 0.044350
1024 2501 100 0.044421
1024 2501 100 0.043605
1024 2501 100 0.044028
1024 2501 100 0.044751
1024 2501 100 0.044783
1024 2501 100 0.044006
1024 2501 100 0.044651
1024 2501 100 0.044042
1024 2501 100 0.044061
1024 2501 100 0.041292
1024 2501 100 0.044664
1024 2501 100 0.043306
1024 2501 100 0.050853
1024 2501 100 0.050750
1024 2501 100 0.051122
1024 2501 100 0.050835
1024 2501 100 0.051198
1024 2501 100 0.051102
1024 2501 100 0.051220
1024 2501 100 0.050434
1024 2501 100 0.052632
1024 2501 100 0.051200
1024 2501 100 0.053252
1024 2501 100 0.052882
1024 2501 100 0.052975
1024 2501 100 0.052595
1024 2501 100 0.052667
1024 2501 100 0.052739
1024 2501 100 0.050327
1024 2501 100 0.053127
1024 2501 100 0.052943
1024 2501 100 0.053253
1024 2501 100 0.052984
1024 2501 100 0.053149
1024 2501 100 0.053253
1024 2501 100 0.052958
1024 2501 100 0.053139
1024 2501 100 0.051237
1024 2501 100 0.053061
1024 2501 100 0.052888
1024 2501 100 0.053501
1024 2501 100 0.052818
1024 2501 100 0.052802
1024 2501 100 0.052274
1024 2501 100 0.050940
1024 2501 100 0.053297
1024 2501 100 0.052951
1024 2501 100 0.053548
1024 2501 100 0.053373
1024 2501 100 0.053403
1024 2501 100 0.053200
1024 2501 100 0.051566
1024 2501 100 0.051386
1024 2501 100 0.052485
1024 2501 100 0.050643
1024 2501 100 0.051940
1024 2501 100 0.051145
1024 2501 100 0.051315
1024 2501 100 0.051254
1024 2501 100 0.053724
1024 2501 100 0.051651
1024 2501 100 0.052126
1024 2501 100 0.050636
1024 2501 100 0.053741
1024 2501 100 0.051927
1024 2501 100 0.052123
1024 2501 100 0.051015
1024 2501 100 0.051459
1024 2501 100 0.054211
1024 2501 100 0.053811
1024 2501 100 0.054253
1024 2501 100 0.053623
1024 2501 100 0.052448
1024 2501 100 0.051031
1024 2501 100 0.053313
1024 2501 100 0.053838
1024 2501 100 0.054233
1024 2501 100 0.053714
1024 2501 100 0.053870
1024 2501 100 0.053326
1024 2501 100 0.052377
1024 2501 100 0.051215
1024 2501 100 0.051617
1024 2501 100 0.052609
1024 2501 100 0.051133
1024 2501 100 0.052295
1024 2501 100 0.051119
1024 2501 100 0.052064
1024 2501 100 0.051338
1024 2501 100 0.052680
1024 2501 100 0.051399
1024 2501 100 0.051275
1024 2501 100 0.051373
1024 2501 100 0.052808
1024 2501 100 0.051690
1024 2501 100 0.051247
1024 2501 100 0.051361
1024 2501 100 0.051939
1024 2501 100 0.050967
1024 2501 100 0.051395
1024 2501 100 0.052001
1024 2501 100 0.054894
1024 2501 100 0.054493
1024 2501 100 0.054499
1024 2501 100 0.051486
1024 2501 100 0.054285
1024 2501 100 0.055066
1024 2501 100 0.051719
1024 2501 100 0.054395
1024 2501 100 0.054444
1024 2501 100 0.054847
1024 2501 100 0.054948
1024 2501 100 0.051609
1024 2501 100 0.054791
1024 2501 100 0.054988
1024 2501 100 0.054522
1024 2501 100 0.054682
1024 2501 100 0.054643
1024 2501 100 0.054940
1024 2501 100 0.051336
1024 2501 100 0.054764
1024 2501 100 0.055096
1024 2501 100 0.054529
1024 2501 100 0.051682
1024 2501 100 0.054595
1024 2501 100 0.054536
1024 2501 100 0.054476
1024 2501 100 0.051630
1024 2501 100 0.054610
1024 2501 100 0.055347
1024 2501 100 0.054970
1024 2501 100 0.055256
1024 2501 100 0.054945
1024 2501 100 0.052487
1024 2501 100 0.055133
1024 2501 100 0.055295
1024 2501 100 0.055406
1024 2501 100 0.054858
1024 2501 100 0.052518
1024 2501 100 0.055148
1024 2501 100 0.052128
1024 2501 100 0.055217
1024 2501 100 0.055600
1024 2501 100 0.055324
1024 2501 100 0.051739
1024 2501 100 0.055010
1024 2501 100 0.055042
1024 2501 100 0.055639
1024 2501 100 0.051724
1024 2501 100 0.055484
1024 2501 100 0.055801
1024 2501 100 0.055632
1024 2501 100 0.055372
1024 2501 100 0.055656
1024 2501 100 0.055490
1024 2501 100 0.055282
1024 2501 100 0.055768
1024 2501 100 0.051633
1024 2501 100 0.055790
1024 2501 100 0.055821
1024 2501 100 0.055915
1024 2501 100 0.052340
1024 2501 100 0.055913
1024 2501 100 0.055622
1024 2501 100 0.055745
1024 2501 100 0.055823
1024 2501 100 0.055320
1024 2501 100 0.055667
1024 2501 100 0.055597
1024 2501 100 0.056176
1024 2501 100 0.052021
1024 2501 100 0.056068
1024 2501 100 0.055456
1024 2501 100 0.056018
1024 2501 100 0.055823
1024 2501 100 0.051543
1024 2501 100 0.055430
1024 2501 100 0.051815
1024 2501 100 0.052248
1024 2501 100 0.051947
1024 2501 100 0.056215
1024 2501 100 0.052557
1024 2501 100 0.055279
1024 2501 100 0.052443
1024 2501 100 0.052256
1024 2501 100 0.055963
1024 2501 100 0.052566
1024 2501 100 0.052562
1024 2501 100 0.056209
1024 2501 100 0.056124
1024 2501 100 0.056620
1024 2501 100 0.056926
1024 2501 100 0.051759
1024 2501 100 0.055185
1024 2501 100 0.056201
1024 2501 100 0.055850
1024 2501 100 0.052588
1024 2501 100 0.056201
1024 2501 100 0.055975
1024 2501 100 0.052351
1024 2501 100 0.056286
1024 2501 100 0.052570
1024 2501 100 0.055859
1024 2501 100 0.055006
1024 2501 100 0.052309
1024 2501 100 0.054516
1024 2501 100 0.056071
1024 2501 100 0.055968
1024 2501 100 0.051617
1024 2501 100 0.054681
1024 2501 100 0.056327
1024 2501 100 0.052150
1024 2501 100 0.055156
1024 2501 100 0.056403
1024 2501 100 0.055721
1024 2501 100 0.052521
1024 2501 100 0.055377
1024 2501 100 0.055517
1024 2501 100 0.055774
1024 2501 100 0.052705
1024 2501 100 0.055767
1024 2501 100 0.055941
1024 2501 100 0.052068
1024 2501 100 0.055639
1024 2501 100 0.056085
1024 2501 100 0.052828
1024 2501 100 0.055101
1024 2501 100 0.055958
1024 2501 100 0.055242
1024 2501 100 0.052781
1024 2501 100 0.055417
1024 2501 100 0.056477
1024 2501 100 0.055906
1024 2501 100 0.052767
1024 2501 100 0.055645
1024 2501 100 0.056546
1024 2501 100 0.055738
1024 2501 100 0.052623
1024 2501 100 0.056532
1024 2501 100 0.056042
1024 2501 100 0.052785
1024 2501 100 0.051666
1024 2501 100 0.056344
1024 2501 100 0.055528
1024 2501 100 0.052239
1024 2501 100 0.055644
1024 2501 100 0.056586
1024 2501 100 0.055620
1024 2501 100 0.051996
1024 2501 100 0.054944
1024 2501 100 0.056885
1024 2501 100 0.056119
1024 2501 100 0.057346
1024 2501 100 0.052561
1024 2501 100 0.055142
1024 2501 100 0.056724
1024 2501 100 0.056241
1024 2501 100 0.057888
1024 2501 100 0.052327
1024 2501 100 0.054813
1024 2501 100 0.056436
1024 2501 100 0.056357
1024 2501 100 0.057488
1024 2501 100 0.052581
1024 2501 100 0.055117
1024 2501 100 0.056655
1024 2501 100 0.056560
1024 2501 100 0.055702
1024 2501 100 0.052470
1024 2501 100 0.054995
1024 2501 100 0.056595
1024 2501 100 0.055951
1024 2501 100 0.057761
1024 2501 100 0.052208
1024 2501 100 0.055183
1024 2501 100 0.057050
1024 2501 100 0.056458
1024 2501 100 0.057685
1024 2501 100 0.053411
1024 2501 100 0.055604
1024 2501 100 0.056883
1024 2501 100 0.056614
1024 2501 100 0.052481
1024 2501 100 0.055299
1024 2501 100 0.056887
1024 2501 100 0.056631
1024 2501 100 0.057803
1024 2501 100 0.053185
1024 2501 100 0.054837
1024 2501 100 0.056524
1024 2501 100 0.055979
1024 2501 100 0.052928
1024 2501 100 0.055039
1024 2501 100 0.056942
1024 2501 100 0.055428
1024 2501 100 0.053495
1024 2501 100 0.055477
1024 2501 100 0.056576
1024 2501 100 0.056787
1024 2501 100 0.053413
1024 2501 100 0.054944
1024 2501 100 0.057178
1024 2501 100 0.056338
1024 2501 100 0.057905
1024 2501 100 0.053616
1024 2501 100 0.054653
1024 2501 100 0.057188
1024 2501 100 0.056371
1024 2501 100 0.053628
1024 2501 100 0.055435
1024 2501 100 0.057131
1024 2501 100 0.055378
1024 2501 100 0.058227
1024 2501 100 0.053500
1024 2501 100 0.056000
1024 2501 100 0.056706
1024 2501 100 0.056264
1024 2501 100 0.057839
1024 2501 100 0.052021
1024 2501 100 0.055304
1024 2501 100 0.057313
1024 2501 100 0.056484
1024 2501 100 0.057625
1024 2501 100 0.053396
1024 2501 100 0.056043
1024 2501 100 0.056856
1024 2501 100 0.056558
1024 2501 100 0.056014
1024 2501 100 0.053294
1024 2501 100 0.055706
1024 2501 100 0.057207
1024 2501 100 0.055749
1024 2501 100 0.058353
1024 2501 100 0.053736
1024 2501 100 0.055449
1024 2501 100 0.056732
1024 2501 100 0.055553
1024 2501 100 0.058278
1024 2501 100 0.053362
1024 2501 100 0.056062
1024 2501 100 0.056852
1024 2501 100 0.056782
1024 2501 100 0.058165
1024 2501 100 0.053079
1024 2501 100 0.055441
1024 2501 100 0.056830
1024 2501 100 0.056044
1024 2501 100 0.058098
