p n nt time
512 2501 100 0.026257
512 2501 100 0.026343
512 2501 100 0.026354
512 2501 100 0.026343
512 2501 100 0.026345
512 2501 100 0.026399
512 2501 100 0.026351
512 2501 100 0.026507
512 2501 100 0.026649
512 2501 100 0.026822
512 2501 100 0.026682
512 2501 100 0.026574
512 2501 100 0.026950
512 2501 100 0.026670
512 2501 100 0.026667
512 2501 100 0.026635
512 2501 100 0.026772
512 2501 100 0.027038
512 2501 100 0.026614
512 2501 100 0.027051
512 2501 100 0.026186
512 2501 100 0.027006
512 2501 100 0.027039
512 2501 100 0.026892
512 2501 100 0.026995
512 2501 100 0.027107
512 2501 100 0.026894
512 2501 100 0.026937
512 2501 100 0.027083
512 2501 100 0.026978
512 2501 100 0.027015
512 2501 100 0.026722
512 2501 100 0.027085
512 2501 100 0.027202
512 2501 100 0.027076
512 2501 100 0.027001
512 2501 100 0.026957
512 2501 100 0.027049
512 2501 100 0.027048
512 2501 100 0.027028
512 2501 100 0.027135
512 2501 100 0.026996
512 2501 100 0.027205
512 2501 100 0.027311
512 2501 100 0.027170
512 2501 100 0.027119
512 2501 100 0.027116
512 2501 100 0.027049
512 2501 100 0.027177
512 2501 100 0.027280
512 2501 100 0.026995
512 2501 100 0.025950
512 2501 100 0.026686
512 2501 100 0.027032
512 2501 100 0.027262
512 2501 100 0.027275
512 2501 100 0.026897
512 2501 100 0.027356
512 2501 100 0.026018
512 2501 100 0.026707
512 2501 100 0.026661
512 2501 100 0.026699
512 2501 100 0.026411
512 2501 100 0.027067
512 2501 100 0.026463
512 2501 100 0.026440
512 2501 100 0.026850
512 2501 100 0.026011
512 2501 100 0.027085
512 2501 100 0.026843
512 2501 100 0.026370
512 2501 100 0.026564
512 2501 100 0.026982
512 2501 100 0.027608
512 2501 100 0.027667
512 2501 100 0.027328
512 2501 100 0.026477
512 2501 100 0.026497
512 2501 100 0.027388
512 2501 100 0.027373
512 2501 100 0.027521
512 2501 100 0.027410
512 2501 100 0.027583
512 2501 100 0.027789
512 2501 100 0.026405
512 2501 100 0.026608
512 2501 100 0.026357
512 2501 100 0.026769
512 2501 100 0.027041
512 2501 100 0.026565
512 2501 100 0.027109
512 2501 100 0.026133
512 2501 100 0.027492
512 2501 100 0.027455
512 2501 100 0.026164
512 2501 100 0.026542
512 2501 100 0.027229
512 2501 100 0.026769
512 2501 100 0.027408
512 2501 100 0.027365
512 2501 100 0.026635
512 2501 100 0.027380
512 2501 100 0.026291
512 2501 100 0.027366
512 2501 100 0.027403
512 2501 100 0.026565
512 2501 100 0.027465
512 2501 100 0.026549
512 2501 100 0.027507
512 2501 100 0.027335
512 2501 100 0.026822
512 2501 100 0.027370
512 2501 100 0.026532
512 2501 100 0.027846
512 2501 100 0.027390
512 2501 100 0.026702
512 2501 100 0.027281
512 2501 100 0.026536
512 2501 100 0.027730
512 2501 100 0.026995
512 2501 100 0.026798
512 2501 100 0.027205
512 2501 100 0.026321
512 2501 100 0.027857
512 2501 100 0.027304
512 2501 100 0.027106
512 2501 100 0.026984
512 2501 100 0.026536
512 2501 100 0.027706
512 2501 100 0.027246
512 2501 100 0.027233
512 2501 100 0.026896
512 2501 100 0.026275
512 2501 100 0.027550
512 2501 100 0.027271
512 2501 100 0.027313
512 2501 100 0.027008
512 2501 100 0.026425
512 2501 100 0.027915
512 2501 100 0.027309
512 2501 100 0.027533
512 2501 100 0.026902
512 2501 100 0.025946
512 2501 100 0.028185
512 2501 100 0.027251
512 2501 100 0.027459
512 2501 100 0.027178
512 2501 100 0.026382
512 2501 100 0.027428
512 2501 100 0.027216
512 2501 100 0.027248
512 2501 100 0.026499
512 2501 100 0.027394
512 2501 100 0.027360
512 2501 100 0.027491
512 2501 100 0.027409
512 2501 100 0.027395
512 2501 100 0.026623
512 2501 100 0.027468
512 2501 100 0.026679
512 2501 100 0.028063
512 2501 100 0.027715
512 2501 100 0.027474
512 2501 100 0.027287
512 2501 100 0.026696
512 2501 100 0.027377
512 2501 100 0.027577
512 2501 100 0.027330
512 2501 100 0.026776
512 2501 100 0.027555
512 2501 100 0.027613
512 2501 100 0.027305
512 2501 100 0.026686
512 2501 100 0.027873
512 2501 100 0.027551
512 2501 100 0.028002
512 2501 100 0.027107
512 2501 100 0.027762
512 2501 100 0.027024
512 2501 100 0.027917
512 2501 100 0.027640
512 2501 100 0.026759
512 2501 100 0.028197
512 2501 100 0.027511
512 2501 100 0.027941
512 2501 100 0.026916
512 2501 100 0.027909
512 2501 100 0.027483
512 2501 100 0.027874
512 2501 100 0.026881
512 2501 100 0.027738
512 2501 100 0.027387
512 2501 100 0.026512
512 2501 100 0.027786
512 2501 100 0.027255
512 2501 100 0.026674
512 2501 100 0.027902
512 2501 100 0.027645
512 2501 100 0.027815
512 2501 100 0.026810
512 2501 100 0.028043
512 2501 100 0.027644
512 2501 100 0.027957
512 2501 100 0.026792
512 2501 100 0.027991
512 2501 100 0.028099
512 2501 100 0.026483
512 2501 100 0.027948
512 2501 100 0.027766
512 2501 100 0.026225
512 2501 100 0.028107
512 2501 100 0.027757
512 2501 100 0.026521
512 2501 100 0.028119
512 2501 100 0.028090
512 2501 100 0.026599
512 2501 100 0.028235
512 2501 100 0.028091
512 2501 100 0.026270
512 2501 100 0.027837
512 2501 100 0.027954
512 2501 100 0.026527
512 2501 100 0.028248
512 2501 100 0.027873
512 2501 100 0.026705
512 2501 100 0.028060
512 2501 100 0.028115
512 2501 100 0.027077
512 2501 100 0.028061
512 2501 100 0.027813
512 2501 100 0.026747
512 2501 100 0.027804
512 2501 100 0.027875
512 2501 100 0.026604
512 2501 100 0.028284
512 2501 100 0.027841
512 2501 100 0.026591
512 2501 100 0.028232
512 2501 100 0.028006
512 2501 100 0.026817
512 2501 100 0.028277
512 2501 100 0.028140
512 2501 100 0.026683
512 2501 100 0.028091
512 2501 100 0.028079
512 2501 100 0.026469
512 2501 100 0.028210
512 2501 100 0.028060
512 2501 100 0.026617
512 2501 100 0.027865
512 2501 100 0.028130
512 2501 100 0.026607
512 2501 100 0.028210
512 2501 100 0.028380
512 2501 100 0.026849
512 2501 100 0.028132
512 2501 100 0.028351
512 2501 100 0.026680
512 2501 100 0.027863
512 2501 100 0.029148
512 2501 100 0.029950
512 2501 100 0.026788
512 2501 100 0.028371
512 2501 100 0.028923
512 2501 100 0.029859
512 2501 100 0.026799
512 2501 100 0.028044
512 2501 100 0.029992
512 2501 100 0.029561
512 2501 100 0.030075
512 2501 100 0.027081
512 2501 100 0.028029
512 2501 100 0.029343
512 2501 100 0.029880
512 2501 100 0.026997
512 2501 100 0.028397
512 2501 100 0.029478
512 2501 100 0.029999
512 2501 100 0.026900
512 2501 100 0.028079
512 2501 100 0.030297
512 2501 100 0.029219
512 2501 100 0.029961
512 2501 100 0.026998
512 2501 100 0.027924
512 2501 100 0.030279
512 2501 100 0.029542
512 2501 100 0.030379
