p n nt time
256 2501 100 0.027674
256 2501 100 0.027615
256 2501 100 0.027735
256 2501 100 0.027707
256 2501 100 0.027828
256 2501 100 0.027744
256 2501 100 0.027963
256 2501 100 0.027782
256 2501 100 0.027998
256 2501 100 0.027712
256 2501 100 0.027807
256 2501 100 0.027746
256 2501 100 0.027801
256 2501 100 0.027971
256 2501 100 0.027860
256 2501 100 0.027844
256 2501 100 0.027760
256 2501 100 0.027857
256 2501 100 0.028042
256 2501 100 0.028012
256 2501 100 0.028112
256 2501 100 0.028007
256 2501 100 0.027985
256 2501 100 0.027947
256 2501 100 0.028445
256 2501 100 0.028364
256 2501 100 0.028533
256 2501 100 0.028425
256 2501 100 0.028277
256 2501 100 0.028498
256 2501 100 0.028613
256 2501 100 0.028523
256 2501 100 0.028635
256 2501 100 0.028743
256 2501 100 0.028708
256 2501 100 0.028750
256 2501 100 0.028795
256 2501 100 0.028881
256 2501 100 0.028900
256 2501 100 0.029005
256 2501 100 0.029267
256 2501 100 0.029373
256 2501 100 0.029055
256 2501 100 0.029135
256 2501 100 0.029365
256 2501 100 0.029202
256 2501 100 0.029259
256 2501 100 0.029250
256 2501 100 0.029072
256 2501 100 0.029332
256 2501 100 0.029216
256 2501 100 0.029367
256 2501 100 0.029625
256 2501 100 0.029175
256 2501 100 0.029376
256 2501 100 0.029348
256 2501 100 0.029467
256 2501 100 0.029690
256 2501 100 0.029353
256 2501 100 0.029507
256 2501 100 0.029557
256 2501 100 0.029605
256 2501 100 0.029540
256 2501 100 0.029625
256 2501 100 0.029920
256 2501 100 0.029383
256 2501 100 0.029414
256 2501 100 0.029588
256 2501 100 0.029816
256 2501 100 0.029711
256 2501 100 0.029734
256 2501 100 0.029978
256 2501 100 0.029717
256 2501 100 0.029732
256 2501 100 0.030080
256 2501 100 0.029842
256 2501 100 0.029833
256 2501 100 0.030129
256 2501 100 0.029970
256 2501 100 0.029990
256 2501 100 0.029938
256 2501 100 0.029786
256 2501 100 0.029779
256 2501 100 0.030356
256 2501 100 0.029755
256 2501 100 0.030010
256 2501 100 0.029779
256 2501 100 0.029805
256 2501 100 0.030014
256 2501 100 0.030087
256 2501 100 0.030234
256 2501 100 0.030205
256 2501 100 0.030019
256 2501 100 0.029945
256 2501 100 0.030141
256 2501 100 0.029936
256 2501 100 0.029906
256 2501 100 0.029897
256 2501 100 0.030191
256 2501 100 0.030095
256 2501 100 0.030219
256 2501 100 0.030255
256 2501 100 0.029986
256 2501 100 0.030303
256 2501 100 0.030324
256 2501 100 0.030559
256 2501 100 0.029967
256 2501 100 0.030110
256 2501 100 0.030079
256 2501 100 0.030330
256 2501 100 0.030213
256 2501 100 0.031146
256 2501 100 0.030035
256 2501 100 0.030402
256 2501 100 0.030176
256 2501 100 0.031067
256 2501 100 0.031127
256 2501 100 0.031103
256 2501 100 0.030530
256 2501 100 0.030344
256 2501 100 0.030288
256 2501 100 0.030352
256 2501 100 0.030919
256 2501 100 0.031210
256 2501 100 0.031041
256 2501 100 0.030570
256 2501 100 0.030174
256 2501 100 0.030385
256 2501 100 0.030341
256 2501 100 0.031160
256 2501 100 0.031255
256 2501 100 0.031128
256 2501 100 0.031301
256 2501 100 0.031334
256 2501 100 0.030192
256 2501 100 0.030347
256 2501 100 0.030262
256 2501 100 0.031196
256 2501 100 0.031353
256 2501 100 0.031371
256 2501 100 0.030878
256 2501 100 0.030165
256 2501 100 0.030278
256 2501 100 0.030292
256 2501 100 0.031324
256 2501 100 0.031479
256 2501 100 0.030852
256 2501 100 0.030230
256 2501 100 0.030151
256 2501 100 0.031103
256 2501 100 0.030565
256 2501 100 0.030245
256 2501 100 0.030259
256 2501 100 0.030934
256 2501 100 0.030803
256 2501 100 0.030385
256 2501 100 0.030308
256 2501 100 0.030803
256 2501 100 0.030596
256 2501 100 0.030286
256 2501 100 0.030819
256 2501 100 0.030371
256 2501 100 0.030216
256 2501 100 0.031207
256 2501 100 0.030774
256 2501 100 0.030549
256 2501 100 0.030294
256 2501 100 0.031346
256 2501 100 0.030533
256 2501 100 0.030378
256 2501 100 0.031096
256 2501 100 0.030781
256 2501 100 0.030897
256 2501 100 0.030332
256 2501 100 0.030317
256 2501 100 0.031307
256 2501 100 0.030746
256 2501 100 0.030354
256 2501 100 0.030480
256 2501 100 0.030710
256 2501 100 0.030418
256 2501 100 0.030334
256 2501 100 0.031200
256 2501 100 0.031828
256 2501 100 0.032000
256 2501 100 0.030772
256 2501 100 0.030469
256 2501 100 0.030623
256 2501 100 0.031062
256 2501 100 0.031039
256 2501 100 0.030396
256 2501 100 0.030503
256 2501 100 0.031284
256 2501 100 0.030960
256 2501 100 0.030531
256 2501 100 0.031028
256 2501 100 0.031337
256 2501 100 0.030797
256 2501 100 0.030544
256 2501 100 0.030935
256 2501 100 0.031334
256 2501 100 0.030909
256 2501 100 0.030609
256 2501 100 0.031244
256 2501 100 0.030899
256 2501 100 0.030593
256 2501 100 0.031308
256 2501 100 0.030836
256 2501 100 0.030640
256 2501 100 0.031325
256 2501 100 0.030953
256 2501 100 0.030698
256 2501 100 0.031235
256 2501 100 0.031157
256 2501 100 0.030795
256 2501 100 0.031546
256 2501 100 0.031000
256 2501 100 0.030798
256 2501 100 0.031530
256 2501 100 0.030991
256 2501 100 0.030841
256 2501 100 0.031369
256 2501 100 0.031151
256 2501 100 0.031877
256 2501 100 0.031030
256 2501 100 0.031673
256 2501 100 0.031107
256 2501 100 0.031061
256 2501 100 0.030988
256 2501 100 0.030976
256 2501 100 0.030860
256 2501 100 0.032752
256 2501 100 0.032594
256 2501 100 0.034665
256 2501 100 0.034600
256 2501 100 0.034549
256 2501 100 0.034514
256 2501 100 0.034840
256 2501 100 0.034785
256 2501 100 0.034706
256 2501 100 0.034490
256 2501 100 0.034807
256 2501 100 0.034819
256 2501 100 0.034771
256 2501 100 0.034417
256 2501 100 0.034484
256 2501 100 0.034424
256 2501 100 0.034506
256 2501 100 0.034483
256 2501 100 0.034459
256 2501 100 0.034794
256 2501 100 0.034678
256 2501 100 0.034726
256 2501 100 0.035263
256 2501 100 0.035101
256 2501 100 0.035077
256 5001 100 0.075906
256 5001 100 0.076071
256 5001 100 0.076165
256 5001 100 0.076268
256 5001 100 0.076079
256 5001 100 0.076155
256 5001 100 0.076329
