p n nt time
256 2501 100 0.030333
256 2501 100 0.030116
256 2501 100 0.030300
256 2501 100 0.030047
256 2501 100 0.030271
256 2501 100 0.030296
256 2501 100 0.030271
256 2501 100 0.030478
256 2501 100 0.030250
256 2501 100 0.030443
256 2501 100 0.030380
256 2501 100 0.030648
256 2501 100 0.030548
256 2501 100 0.030400
256 2501 100 0.030712
256 2501 100 0.030388
256 2501 100 0.030610
256 2501 100 0.030460
256 2501 100 0.030588
256 2501 100 0.030524
256 2501 100 0.030797
256 2501 100 0.030663
256 2501 100 0.030686
256 2501 100 0.030664
256 2501 100 0.030709
256 2501 100 0.030915
256 2501 100 0.030720
256 2501 100 0.030675
256 2501 100 0.030597
256 2501 100 0.030788
256 2501 100 0.030592
256 2501 100 0.031003
256 2501 100 0.030759
256 2501 100 0.030748
256 2501 100 0.030968
256 2501 100 0.030914
256 2501 100 0.031610
256 2501 100 0.031611
256 2501 100 0.031534
256 2501 100 0.031076
256 2501 100 0.031796
256 2501 100 0.031655
256 2501 100 0.030872
256 2501 100 0.031492
256 2501 100 0.031901
256 2501 100 0.031860
256 2501 100 0.031021
256 2501 100 0.031670
256 2501 100 0.031651
256 2501 100 0.031823
256 2501 100 0.031583
256 2501 100 0.030904
256 2501 100 0.031750
256 2501 100 0.031777
256 2501 100 0.031960
256 2501 100 0.032048
256 2501 100 0.031010
256 2501 100 0.031784
256 2501 100 0.031928
256 2501 100 0.031832
256 2501 100 0.031966
256 2501 100 0.031943
256 2501 100 0.032057
256 2501 100 0.031617
256 2501 100 0.031196
256 2501 100 0.032190
256 2501 100 0.032051
256 2501 100 0.032104
256 2501 100 0.032093
256 2501 100 0.031526
256 2501 100 0.031080
256 2501 100 0.031393
256 2501 100 0.031582
256 2501 100 0.031242
256 2501 100 0.031148
256 2501 100 0.031479
256 2501 100 0.031326
256 2501 100 0.031345
256 2501 100 0.031656
256 2501 100 0.031091
256 2501 100 0.031341
256 2501 100 0.031756
256 2501 100 0.031004
256 2501 100 0.031206
256 2501 100 0.031676
256 2501 100 0.031254
256 2501 100 0.031345
256 2501 100 0.031633
256 2501 100 0.031158
256 2501 100 0.031237
256 2501 100 0.031872
256 2501 100 0.031256
256 2501 100 0.031246
256 2501 100 0.031766
256 2501 100 0.031237
256 2501 100 0.031408
256 2501 100 0.031850
256 2501 100 0.031008
256 2501 100 0.031396
256 2501 100 0.032495
256 2501 100 0.031823
256 2501 100 0.031177
256 2501 100 0.031195
256 2501 100 0.031807
256 2501 100 0.031301
256 2501 100 0.031203
256 2501 100 0.032223
256 2501 100 0.031727
256 2501 100 0.031347
256 2501 100 0.031395
256 2501 100 0.032410
256 2501 100 0.031841
256 2501 100 0.031406
256 2501 100 0.031367
256 2501 100 0.032402
256 2501 100 0.031682
256 2501 100 0.031349
256 2501 100 0.031304
256 2501 100 0.031617
256 2501 100 0.031124
256 2501 100 0.031412
256 2501 100 0.032299
256 2501 100 0.031937
256 2501 100 0.031193
256 2501 100 0.031510
256 2501 100 0.032264
256 2501 100 0.031773
256 2501 100 0.031305
256 2501 100 0.031341
256 2501 100 0.031912
256 2501 100 0.031074
256 2501 100 0.031502
256 2501 100 0.032471
256 2501 100 0.031963
256 2501 100 0.031403
256 2501 100 0.031477
256 2501 100 0.032868
256 2501 100 0.032455
256 2501 100 0.031971
256 2501 100 0.031231
256 2501 100 0.031583
256 2501 100 0.032383
256 2501 100 0.032568
256 2501 100 0.031853
256 2501 100 0.031387
256 2501 100 0.031399
256 2501 100 0.032665
256 2501 100 0.032676
256 2501 100 0.031922
256 2501 100 0.031540
256 2501 100 0.032526
256 2501 100 0.031364
256 2501 100 0.032618
256 2501 100 0.031909
256 2501 100 0.032493
256 2501 100 0.032002
256 2501 100 0.031372
256 2501 100 0.032548
256 2501 100 0.032722
256 2501 100 0.032147
256 2501 100 0.031510
256 2501 100 0.032654
256 2501 100 0.032556
256 2501 100 0.032049
256 2501 100 0.031562
256 2501 100 0.032599
256 2501 100 0.032501
256 2501 100 0.032064
256 2501 100 0.031349
256 2501 100 0.032581
256 2501 100 0.032419
256 2501 100 0.032073
256 2501 100 0.032658
256 2501 100 0.032548
256 2501 100 0.031595
256 2501 100 0.032727
256 2501 100 0.033024
256 2501 100 0.032604
256 2501 100 0.031633
256 2501 100 0.032682
256 2501 100 0.032523
256 2501 100 0.031658
256 2501 100 0.032787
256 2501 100 0.032927
256 2501 100 0.032540
256 2501 100 0.032726
256 2501 100 0.032535
256 2501 100 0.032800
256 2501 100 0.032743
256 2501 100 0.032879
256 2501 100 0.032658
256 2501 100 0.032839
256 2501 100 0.032575
256 2501 100 0.033007
256 2501 100 0.032891
256 2501 100 0.033123
256 2501 100 0.032987
256 2501 100 0.032679
256 2501 100 0.033076
256 2501 100 0.032701
256 2501 100 0.033094
256 2501 100 0.033008
256 2501 100 0.032740
256 2501 100 0.033144
256 2501 100 0.032790
256 2501 100 0.033153
256 2501 100 0.033015
256 2501 100 0.032877
256 2501 100 0.033183
256 2501 100 0.032921
256 2501 100 0.032907
256 2501 100 0.033133
256 2501 100 0.032917
256 2501 100 0.033039
256 2501 100 0.033027
256 2501 100 0.033019
256 2501 100 0.033279
256 2501 100 0.033131
256 2501 100 0.033254
256 2501 100 0.033818
256 2501 100 0.033228
256 2501 100 0.033132
256 2501 100 0.033866
256 2501 100 0.033187
256 2501 100 0.033123
256 2501 100 0.033810
256 2501 100 0.033161
256 2501 100 0.032947
256 2501 100 0.033882
256 2501 100 0.033131
256 2501 100 0.033266
256 2501 100 0.033141
256 2501 100 0.033077
256 2501 100 0.033274
256 2501 100 0.033142
256 2501 100 0.033361
256 2501 100 0.033278
256 2501 100 0.033418
256 2501 100 0.033233
256 2501 100 0.033300
256 2501 100 0.033679
256 2501 100 0.033730
256 2501 100 0.033880
256 2501 100 0.035657
256 2501 100 0.035593
256 2501 100 0.035706
256 2501 100 0.035360
256 2501 100 0.035446
256 2501 100 0.035696
256 2501 100 0.035439
256 2501 100 0.035472
256 2501 100 0.035338
256 2501 100 0.035791
256 2501 100 0.035670
256 2501 100 0.035422
256 2501 100 0.035530
256 5001 100 0.077121
256 5001 100 0.076923
256 5001 100 0.077164
256 5001 100 0.077013
256 5001 100 0.077266
256 5001 100 0.077263
256 5001 100 0.077316
256 5001 100 0.077266
256 5001 100 0.077354
256 5001 100 0.077322
256 5001 100 0.077330
256 5001 100 0.077624
256 5001 100 0.077617
256 5001 100 0.077569
256 5001 100 0.077576
256 5001 100 0.077701
256 5001 100 0.077578
256 5001 100 0.078002
256 5001 100 0.077505
256 5001 100 0.078095
256 5001 100 0.078018
256 5001 100 0.077575
256 5001 100 0.078102
256 5001 100 0.077960
256 5001 100 0.078100
256 5001 100 0.077679
256 5001 100 0.078235
256 5001 100 0.077824
256 5001 100 0.078181
256 5001 100 0.078189
256 5001 100 0.077795
256 5001 100 0.077834
256 5001 100 0.078090
256 5001 100 0.077782
256 5001 100 0.078255
256 5001 100 0.077724
256 5001 100 0.078153
256 5001 100 0.078386
256 5001 100 0.078317
256 5001 100 0.077916
256 5001 100 0.078200
256 5001 100 0.078218
256 5001 100 0.078207
256 5001 100 0.077865
256 5001 100 0.078464
256 5001 100 0.078385
256 5001 100 0.077736
256 5001 100 0.078409
256 5001 100 0.078109
256 5001 100 0.077823
256 5001 100 0.078368
256 5001 100 0.078604
256 5001 100 0.078506
256 5001 100 0.078513
256 5001 100 0.077977
256 5001 100 0.078199
256 5001 100 0.078015
256 5001 100 0.078596
256 5001 100 0.078122
256 5001 100 0.077951
256 5001 100 0.077862
256 5001 100 0.078372
256 5001 100 0.078623
256 5001 100 0.078717
256 5001 100 0.078105
256 5001 100 0.078273
256 5001 100 0.078121
256 5001 100 0.078191
256 5001 100 0.078638
256 5001 100 0.078721
256 5001 100 0.078739
256 5001 100 0.078364
256 5001 100 0.078097
256 5001 100 0.078095
256 5001 100 0.078373
256 5001 100 0.078772
256 5001 100 0.078077
256 5001 100 0.078050
256 5001 100 0.078516
256 5001 100 0.078248
256 5001 100 0.078180
256 5001 100 0.078117
256 5001 100 0.078012
256 5001 100 0.078376
256 5001 100 0.078268
256 5001 100 0.078438
256 5001 100 0.078065
256 5001 100 0.077977
256 5001 100 0.078462
256 5001 100 0.078255
256 5001 100 0.078100
256 5001 100 0.077944
256 5001 100 0.078611
256 5001 100 0.078394
256 5001 100 0.078369
256 5001 100 0.078104
256 5001 100 0.078633
256 5001 100 0.078496
256 5001 100 0.078268
