p n nt time
1 10001 25 60.790766
2 10001 25 29.120099
2 10001 25 29.120247
4 10001 25 14.521037
4 10001 25 14.538345
4 10001 25 14.556905
4 10001 25 14.556682
8 10001 25 7.226586
8 10001 25 7.242294
8 10001 25 7.255258
8 10001 25 7.269764
8 10001 25 7.278824
8 10001 25 7.288624
8 10001 25 7.296945
8 10001 25 7.296968
16 10001 25 3.576654
16 10001 25 3.581519
16 10001 25 3.590635
16 10001 25 3.595431
16 10001 25 3.599583
16 10001 25 3.604112
16 10001 25 3.609749
16 10001 25 3.614743
16 10001 25 3.621206
16 10001 25 3.627253
16 10001 25 3.634250
16 10001 25 3.641977
16 10001 25 3.645790
16 10001 25 3.650677
16 10001 25 3.655511
16 10001 25 3.655349
32 10001 25 1.787499
32 10001 25 1.789040
32 10001 25 1.789151
32 10001 25 1.791131
32 10001 25 1.792013
32 10001 25 1.793476
32 10001 25 1.794817
32 10001 25 1.794829
32 10001 25 1.795361
32 10001 25 1.796310
32 10001 25 1.796296
32 10001 25 1.797276
32 10001 25 1.799007
32 10001 25 1.798894
32 10001 25 1.801344
32 10001 25 1.802290
32 10001 25 1.803339
32 10001 25 1.803401
32 10001 25 1.805175
32 10001 25 1.808668
32 10001 25 1.810468
32 10001 25 1.813044
32 10001 25 1.814977
32 10001 25 1.817078
32 10001 25 1.820208
32 10001 25 1.823892
32 10001 25 1.827058
32 10001 25 1.830429
32 10001 25 1.832547
32 10001 25 1.835276
32 10001 25 1.836474
32 10001 25 1.836757
64 10001 25 0.982384
64 10001 25 0.982726
64 10001 25 0.983472
64 10001 25 0.983297
64 10001 25 0.983572
64 10001 25 0.983521
64 10001 25 0.983670
64 10001 25 0.983790
64 10001 25 0.983724
64 10001 25 0.983626
64 10001 25 0.983309
64 10001 25 0.983485
64 10001 25 0.983779
64 10001 25 0.983866
64 10001 25 0.984343
64 10001 25 0.984054
64 10001 25 0.984686
64 10001 25 0.984470
64 10001 25 0.984679
64 10001 25 0.984956
64 10001 25 0.984921
64 10001 25 0.984967
64 10001 25 0.985370
64 10001 25 0.985313
64 10001 25 0.985812
64 10001 25 0.985599
64 10001 25 0.985839
64 10001 25 0.985789
64 10001 25 0.985944
64 10001 25 0.985856
64 10001 25 0.985805
64 10001 25 0.986309
64 10001 25 0.986214
64 10001 25 0.986842
64 10001 25 0.986847
64 10001 25 0.987630
64 10001 25 0.988095
64 10001 25 0.989177
64 10001 25 0.988734
64 10001 25 0.989591
64 10001 25 0.989668
64 10001 25 0.990311
64 10001 25 0.990827
64 10001 25 0.991724
64 10001 25 0.991931
64 10001 25 0.993010
64 10001 25 0.993397
64 10001 25 0.994022
64 10001 25 0.995218
64 10001 25 0.995242
64 10001 25 0.995120
64 10001 25 0.996370
64 10001 25 0.997384
64 10001 25 0.998324
64 10001 25 0.999510
64 10001 25 1.002085
64 10001 25 1.003709
64 10001 25 1.005410
64 10001 25 1.007506
64 10001 25 1.007401
64 10001 25 1.007906
64 10001 25 1.008868
64 10001 25 1.009214
64 10001 25 1.009279
128 10001 25 0.609511
128 10001 25 0.609719
128 10001 25 0.609422
128 10001 25 0.609432
128 10001 25 0.609535
128 10001 25 0.609523
128 10001 25 0.610474
128 10001 25 0.610262
128 10001 25 0.611403
128 10001 25 0.611302
128 10001 25 0.611609
128 10001 25 0.611456
128 10001 25 0.611684
128 10001 25 0.611141
128 10001 25 0.611563
128 10001 25 0.611585
