p n nt time
1 1001 250 4.822651
2 2002 250 9.151461
2 2002 250 9.151567
4 4004 250 18.799881
4 4004 250 18.802986
4 4004 250 18.806002
4 4004 250 18.805704
8 8008 250 37.592831
8 8008 250 37.601746
8 8008 250 37.612120
8 8008 250 37.620777
8 8008 250 37.626301
8 8008 250 37.632232
8 8008 250 37.637649
8 8008 250 37.638098
16 16016 250 83.240526
16 16016 250 83.312606
16 16016 250 83.313442
16 16016 250 83.385579
16 16016 250 83.386552
16 16016 250 83.459591
16 16016 250 83.460745
16 16016 250 83.531582
16 16016 250 83.533059
16 16016 250 83.604005
16 16016 250 83.606473
16 16016 250 83.676493
16 16016 250 83.679406
16 16016 250 83.748934
16 16016 250 83.749055
16 16016 250 83.749017
32 32032 250 177.094845
32 32032 250 177.229186
32 32032 250 177.242884
32 32032 250 177.382585
32 32032 250 177.389747
32 32032 250 177.537361
32 32032 250 177.538588
32 32032 250 177.687133
32 32032 250 177.691359
32 32032 250 177.834106
32 32032 250 177.843505
32 32032 250 177.981042
32 32032 250 177.996016
32 32032 250 178.131353
32 32032 250 178.141178
32 32032 250 178.142064
32 32032 250 178.285330
32 32032 250 178.288254
32 32032 250 178.288222
32 32032 250 178.288335
32 32032 250 178.290824
32 32032 250 178.438558
32 32032 250 178.443971
32 32032 250 178.590036
32 32032 250 178.590450
32 32032 250 178.737591
32 32032 250 178.740298
32 32032 250 178.886717
32 32032 250 178.886803
32 32032 250 179.033008
32 32032 250 179.033405
32 32032 250 179.033566
64 64064 250 389.906229
64 64064 250 389.912368
64 64064 250 389.920796
64 64064 250 389.941841
64 64064 250 390.255565
64 64064 250 390.576524
64 64064 250 390.973909
64 64064 250 391.257569
64 64064 250 391.565462
64 64064 250 391.905637
64 64064 250 392.244034
64 64064 250 392.555650
64 64064 250 392.873703
64 64064 250 393.206233
64 64064 250 393.519718
64 64064 250 393.782930
64 64064 250 394.119425
64 64064 250 394.435710
64 64064 250 394.812034
64 64064 250 395.109483
64 64064 250 395.397350
64 64064 250 395.674519
64 64064 250 396.003469
64 64064 250 396.253240
64 64064 250 396.607034
64 64064 250 396.915368
64 64064 250 397.238108
64 64064 250 397.536781
64 64064 250 397.832706
64 64064 250 398.129957
64 64064 250 398.263950
64 64064 250 398.429432
64 64064 250 398.561304
64 64064 250 398.709256
64 64064 250 398.889233
64 64064 250 399.090451
64 64064 250 399.179171
64 64064 250 399.366368
64 64064 250 399.470310
64 64064 250 399.708462
64 64064 250 399.795375
64 64064 250 400.031582
64 64064 250 400.119077
64 64064 250 400.299174
64 64064 250 400.390442
64 64064 250 400.576157
64 64064 250 400.686608
64 64064 250 400.860759
64 64064 250 400.877770
64 64064 250 400.968472
64 64064 250 401.064488
64 64064 250 401.302884
64 64064 250 401.336901
64 64064 250 401.615203
64 64064 250 401.664170
64 64064 250 401.928627
64 64064 250 401.953839
64 64064 250 401.982569
64 64064 250 401.984340
64 64064 250 401.987484
64 64064 250 402.002750
64 64064 250 402.013085
64 64064 250 402.013465
64 64064 250 402.043359
128 128128 250 967.917116
128 128128 250 968.480578
128 128128 250 969.401600
128 128128 250 970.392864
128 128128 250 971.032532
128 128128 250 971.681189
128 128128 250 972.457890
128 128128 250 973.086827
128 128128 250 973.921403
128 128128 250 974.615229
128 128128 250 975.517115
128 128128 250 976.247929
128 128128 250 977.020289
128 128128 250 977.774531
128 128128 250 978.314210
128 128128 250 979.080364
128 128128 250 979.327565
128 128128 250 979.846236
128 128128 250 980.185305
128 128128 250 980.664050
128 128128 250 980.919267
128 128128 250 981.464190
128 128128 250 981.584638
128 128128 250 982.154792
128 128128 250 982.526517
128 128128 250 982.832039
128 128128 250 983.383396
128 128128 250 983.487736
128 128128 250 984.170128
128 128128 250 984.680286
128 128128 250 984.903922
128 128128 250 985.126516
128 128128 250 985.285140
128 128128 250 985.590270
128 128128 250 985.735186
128 128128 250 985.801313
128 128128 250 985.980796
128 128128 250 986.299677
128 128128 250 986.354443
128 128128 250 986.525588
128 128128 250 986.646060
128 128128 250 986.993110
128 128128 250 987.003996
128 128128 250 987.011515
128 128128 250 987.178788
128 128128 250 987.261756
128 128128 250 987.290407
128 128128 250 987.383933
128 128128 250 987.874493
128 128128 250 988.001687
128 128128 250 988.068965
128 128128 250 988.069198
128 128128 250 988.659322
128 128128 250 988.744350
128 128128 250 988.758317
128 128128 250 988.759545
128 128128 250 989.401758
128 128128 250 989.437280
128 128128 250 989.481521
128 128128 250 989.546366
128 128128 250 990.106371
128 128128 250 990.147352
128 128128 250 990.162238
128 128128 250 990.231382
128 128128 250 990.556583
128 128128 250 990.918378
128 128128 250 991.029778
128 128128 250 991.042444
128 128128 250 991.300057
128 128128 250 991.302779
128 128128 250 991.331233
128 128128 250 991.612019
128 128128 250 991.707822
128 128128 250 991.833980
128 128128 250 992.025982
128 128128 250 992.276793
128 128128 250 992.297763
128 128128 250 992.493039
128 128128 250 992.752941
128 128128 250 992.945026
128 128128 250 992.962229
128 128128 250 992.976767
128 128128 250 993.864612
128 128128 250 993.891048
128 128128 250 994.412356
128 128128 250 994.835441
128 128128 250 994.847080
128 128128 250 994.856755
128 128128 250 994.858599
128 128128 250 994.876506
128 128128 250 994.872880
128 128128 250 995.127828
128 128128 250 995.215624
128 128128 250 995.478289
128 128128 250 996.256653
128 128128 250 996.280857
128 128128 250 996.524118
128 128128 250 996.578151
128 128128 250 996.745251
128 128128 250 996.818769
128 128128 250 996.821776
128 128128 250 996.824375
128 128128 250 996.828687
128 128128 250 997.174380
128 128128 250 997.753691
128 128128 250 997.877390
128 128128 250 997.949316
128 128128 250 997.950719
128 128128 250 998.296686
128 128128 250 998.381202
128 128128 250 998.578625
128 128128 250 998.678831
128 128128 250 998.820106
128 128128 250 999.449656
128 128128 250 999.466185
128 128128 250 1000.278966
128 128128 250 1000.296770
128 128128 250 1000.440484
128 128128 250 1000.859948
128 128128 250 1000.942199
128 128128 250 1000.948111
128 128128 250 1001.103154
128 128128 250 1001.203332
128 128128 250 1001.266238
128 128128 250 1001.294712
128 128128 250 1001.382913
128 128128 250 1001.389858
128 128128 250 1001.400126
1 1001 250 4.852554
2 2002 250 9.234094
2 2002 250 9.233985
4 4004 250 18.718436
4 4004 250 18.721277
4 4004 250 18.724416
4 4004 250 18.724500
8 8008 250 37.572782
8 8008 250 37.582943
8 8008 250 37.592550
8 8008 250 37.601507
8 8008 250 37.607282
8 8008 250 37.613225
8 8008 250 37.619337
8 8008 250 37.618869
16 16016 250 73.905068
16 16016 250 73.917468
16 16016 250 73.927914
16 16016 250 73.937951
16 16016 250 73.948929
16 16016 250 73.961261
16 16016 250 73.974270
16 16016 250 73.986159
16 16016 250 73.997638
16 16016 250 74.008417
16 16016 250 74.019591
16 16016 250 74.030748
16 16016 250 74.041946
16 16016 250 74.053560
16 16016 250 74.065131
16 16016 250 74.065322
32 32032 250 178.508217
32 32032 250 178.508098
32 32032 250 178.595111
32 32032 250 178.743747
32 32032 250 178.756764
32 32032 250 178.855619
32 32032 250 178.894792
32 32032 250 178.903843
32 32032 250 179.005161
32 32032 250 179.044320
32 32032 250 179.048254
32 32032 250 179.050375
32 32032 250 179.050417
32 32032 250 179.050646
32 32032 250 179.154712
32 32032 250 179.303006
32 32032 250 179.303445
32 32032 250 179.449327
32 32032 250 179.457092
32 32032 250 179.599416
32 32032 250 179.607034
32 32032 250 179.747183
32 32032 250 179.754512
32 32032 250 179.896866
32 32032 250 179.903085
32 32032 250 180.044507
32 32032 250 180.048033
32 32032 250 180.192558
32 32032 250 180.193595
32 32032 250 180.337929
32 32032 250 180.337956
32 32032 250 180.337959
64 64064 250 394.233778
64 64064 250 394.582687
64 64064 250 394.895707
64 64064 250 395.242561
64 64064 250 395.600626
64 64064 250 395.953469
64 64064 250 396.261129
64 64064 250 396.568839
64 64064 250 396.907139
64 64064 250 397.270318
64 64064 250 397.576579
64 64064 250 397.914804
64 64064 250 398.248783
64 64064 250 398.546138
64 64064 250 398.868864
64 64064 250 399.165271
64 64064 250 399.511686
64 64064 250 399.859073
64 64064 250 400.127962
64 64064 250 400.149369
64 64064 250 400.177301
64 64064 250 400.430276
64 64064 250 400.478098
64 64064 250 400.506036
64 64064 250 400.727940
64 64064 250 400.744755
64 64064 250 400.778667
64 64064 250 400.784837
64 64064 250 401.035523
64 64064 250 401.052130
64 64064 250 401.092408
64 64064 250 401.111312
64 64064 250 401.340464
64 64064 250 401.373158
64 64064 250 401.384992
64 64064 250 401.398629
64 64064 250 401.639191
64 64064 250 401.653823
64 64064 250 401.688225
64 64064 250 401.698626
64 64064 250 401.932465
64 64064 250 401.933040
64 64064 250 401.991008
64 64064 250 401.991534
64 64064 250 402.228845
64 64064 250 402.228810
64 64064 250 402.249865
64 64064 250 402.280655
64 64064 250 402.308187
64 64064 250 402.610765
64 64064 250 402.623377
64 64064 250 402.888052
64 64064 250 402.899905
64 64064 250 403.150767
64 64064 250 403.173423
64 64064 250 403.425173
64 64064 250 403.441659
64 64064 250 403.702625
64 64064 250 403.708154
64 64064 250 404.000646
64 64064 250 404.003698
64 64064 250 404.298324
64 64064 250 404.298426
64 64064 250 404.322855
128 128128 250 963.107665
128 128128 250 963.340725
128 128128 250 963.852231
128 128128 250 964.083075
128 128128 250 964.606956
128 128128 250 964.911892
128 128128 250 965.406970
128 128128 250 965.715386
128 128128 250 965.731607
128 128128 250 966.233205
128 128128 250 966.289661
128 128128 250 966.841544
128 128128 250 966.923378
128 128128 250 967.552685
128 128128 250 967.619677
128 128128 250 967.742034
128 128128 250 968.217377
128 128128 250 968.317201
128 128128 250 968.351342
128 128128 250 968.462966
